team,match_date,comp,stage,HAN,vs,gd,xgd,attendance
Arsenal,8/6/2023,Community Shield,FA Community Shield,N,Manchester City,0,0,81145
Manchester City,8/6/2023,Community Shield,FA Community Shield,N,Arsenal,0,0,81145
Burnley,8/11/2023,Premier League,Matchweek 1,H,Manchester City,-3,-1.6,21572
Manchester City,8/11/2023,Premier League,Matchweek 1,A,Burnley,3,1.6,21572
Arsenal,8/12/2023,Premier League,Matchweek 1,H,Nott'ham Forest,1,-0.4,59984
Nott'ham Forest,8/12/2023,Premier League,Matchweek 1,A,Arsenal,-1,0.4,59984
Aston Villa,8/12/2023,Premier League,Matchweek 1,A,Newcastle Utd,-4,-1.5,52207
Newcastle Utd,8/12/2023,Premier League,Matchweek 1,H,Aston Villa,4,1.5,52207
Everton,8/12/2023,Premier League,Matchweek 1,H,Fulham,-1,1.2,39940
Fulham,8/12/2023,Premier League,Matchweek 1,A,Everton,1,-1.2,39940
Brighton,8/12/2023,Premier League,Matchweek 1,H,Luton Town,3,2.5,31872
Luton Town,8/12/2023,Premier League,Matchweek 1,A,Brighton,-3,-2.5,31872
Crystal Palace,8/12/2023,Premier League,Matchweek 1,A,Sheffield Utd,1,1.4,31194
Sheffield Utd,8/12/2023,Premier League,Matchweek 1,H,Crystal Palace,-1,-1.4,31194
Bournemouth,8/12/2023,Premier League,Matchweek 1,H,West Ham,0,0.2,11245
West Ham,8/12/2023,Premier League,Matchweek 1,A,Bournemouth,0,-0.2,11245
Chelsea,8/13/2023,Premier League,Matchweek 1,H,Liverpool,0,0.1,40096
Liverpool,8/13/2023,Premier League,Matchweek 1,A,Chelsea,0,-0.1,40096
Brentford,8/13/2023,Premier League,Matchweek 1,H,Tottenham,0,0.9,17066
Tottenham,8/13/2023,Premier League,Matchweek 1,A,Brentford,0,-0.9,17066
Manchester Utd,8/14/2023,Premier League,Matchweek 1,H,Wolves,1,0,73358
Wolves,8/14/2023,Premier League,Matchweek 1,A,Manchester Utd,-1,0,73358
Manchester City,8/16/2023,Super Cup,UEFA Super Cup,N,Sevilla,0,0,0
Nott'ham Forest,8/18/2023,Premier League,Matchweek 2,H,Sheffield Utd,1,0.9,29432
Sheffield Utd,8/18/2023,Premier League,Matchweek 2,A,Nott'ham Forest,-1,-0.9,29432
Manchester Utd,8/19/2023,Premier League,Matchweek 2,A,Tottenham,-2,0.4,61910
Tottenham,8/19/2023,Premier League,Matchweek 2,H,Manchester Utd,2,-0.4,61910
Manchester City,8/19/2023,Premier League,Matchweek 2,H,Newcastle Utd,1,0.7,53419
Newcastle Utd,8/19/2023,Premier League,Matchweek 2,A,Manchester City,-1,-0.7,53419
Bournemouth,8/19/2023,Premier League,Matchweek 2,A,Liverpool,-2,-1.7,53145
Liverpool,8/19/2023,Premier League,Matchweek 2,H,Bournemouth,2,1.7,53145
Brighton,8/19/2023,Premier League,Matchweek 2,A,Wolves,3,0.1,31317
Wolves,8/19/2023,Premier League,Matchweek 2,H,Brighton,-3,-0.1,31317
Brentford,8/19/2023,Premier League,Matchweek 2,A,Fulham,3,3.2,24236
Fulham,8/19/2023,Premier League,Matchweek 2,H,Brentford,-3,-3.2,24236
Chelsea,8/20/2023,Premier League,Matchweek 2,A,West Ham,-2,0.7,62451
West Ham,8/20/2023,Premier League,Matchweek 2,H,Chelsea,2,-0.7,62451
Aston Villa,8/20/2023,Premier League,Matchweek 2,H,Everton,4,2.3,41694
Everton,8/20/2023,Premier League,Matchweek 2,A,Aston Villa,-4,-2.3,41694
Arsenal,8/21/2023,Premier League,Matchweek 2,A,Crystal Palace,1,1,24189
Crystal Palace,8/21/2023,Premier League,Matchweek 2,H,Arsenal,-1,-1,24189
Aston Villa,8/23/2023,Conf Lg,Play-off round,A,Hibernian,5,0,19306
Chelsea,8/25/2023,Premier League,Matchweek 3,H,Luton Town,3,1.8,39893
Luton Town,8/25/2023,Premier League,Matchweek 3,A,Chelsea,-3,-1.8,39893
Manchester Utd,8/26/2023,Premier League,Matchweek 3,H,Nott'ham Forest,1,1.6,73595
Nott'ham Forest,8/26/2023,Premier League,Matchweek 3,A,Manchester Utd,-1,-1.6,73595
Arsenal,8/26/2023,Premier League,Matchweek 3,H,Fulham,0,2.6,59961
Fulham,8/26/2023,Premier League,Matchweek 3,A,Arsenal,0,-2.6,59961
Everton,8/26/2023,Premier League,Matchweek 3,H,Wolves,-1,0.2,38851
Wolves,8/26/2023,Premier League,Matchweek 3,A,Everton,1,-0.2,38851
Brighton,8/26/2023,Premier League,Matchweek 3,H,West Ham,-2,-1.5,31508
West Ham,8/26/2023,Premier League,Matchweek 3,A,Brighton,2,1.5,31508
Brentford,8/26/2023,Premier League,Matchweek 3,H,Crystal Palace,0,0.2,16997
Crystal Palace,8/26/2023,Premier League,Matchweek 3,A,Brentford,0,-0.2,16997
Bournemouth,8/26/2023,Premier League,Matchweek 3,H,Tottenham,-2,-1.4,10567
Tottenham,8/26/2023,Premier League,Matchweek 3,A,Bournemouth,2,1.4,10567
Liverpool,8/27/2023,Premier League,Matchweek 3,A,Newcastle Utd,1,-1.1,52214
Newcastle Utd,8/27/2023,Premier League,Matchweek 3,H,Liverpool,-1,1.1,52214
Manchester City,8/27/2023,Premier League,Matchweek 3,A,Sheffield Utd,1,2.8,31336
Sheffield Utd,8/27/2023,Premier League,Matchweek 3,H,Manchester City,-1,-2.8,31336
Aston Villa,8/27/2023,Premier League,Matchweek 3,A,Burnley,2,1.8,21591
Burnley,8/27/2023,Premier League,Matchweek 3,H,Aston Villa,-2,-1.8,21591
Fulham,8/29/2023,EFL Cup,Second round,H,Tottenham,0,0,21043
Tottenham,8/29/2023,EFL Cup,Second round,A,Fulham,0,0,21043
Wolves,8/29/2023,EFL Cup,Second round,H,Blackpool,5,0,20605
Crystal Palace,8/29/2023,EFL Cup,Second round,A,Plymouth Argyle,2,0,15826
Luton Town,8/29/2023,EFL Cup,Second round,H,Gillingham,1,0,9468
Bournemouth,8/29/2023,EFL Cup,Second round,A,Swansea City,1,0,8785
Brentford,8/29/2023,EFL Cup,Second round,A,Newport County,0,0,5916
Chelsea,8/30/2023,EFL Cup,Second round,H,AFC Wimbledon,1,0,37794
Burnley,8/30/2023,EFL Cup,Second round,A,Nott'ham Forest,1,0,27766
Nott'ham Forest,8/30/2023,EFL Cup,Second round,H,Burnley,-1,0,27766
Everton,8/30/2023,EFL Cup,Second round,A,Doncaster,1,0,11430
Sheffield Utd,8/30/2023,EFL Cup,Second round,H,Lincoln City,0,0,11040
Aston Villa,8/31/2023,Conf Lg,Play-off round,H,Hibernian,3,0,39467
Luton Town,9/1/2023,Premier League,Matchweek 4,H,West Ham,-1,0.4,10802
West Ham,9/1/2023,Premier League,Matchweek 4,A,Luton Town,1,-0.4,10802
Fulham,9/2/2023,Premier League,Matchweek 4,A,Manchester City,-4,-0.8,52899
Manchester City,9/2/2023,Premier League,Matchweek 4,H,Fulham,4,0.8,52899
