home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Burnley,Manchester City,Premier League,Matchweek 1,8/11/2023,-3,-1.6,0.9567994322717999,2,0.0,174.58304869526592,21.178939146197887
Arsenal,Nott'ham Forest,Premier League,Matchweek 1,8/12/2023,1,-0.4,0.9881391671059567,-1,0.0,105.04331138761516,105.04331138761516
Newcastle Utd,Aston Villa,Premier League,Matchweek 1,8/12/2023,4,1.5,0.9981263741516108,0,0.0,170.7512515889244,170.7512515889244
Everton,Fulham,Premier League,Matchweek 1,8/12/2023,-1,1.2,0.9945962098762358,0,0.0,178.20612635238703,178.20612635238703
Brighton,Luton Town,Premier League,Matchweek 1,8/12/2023,3,2.5,0.9806769230769231,0,0.0,72.21833381189889,72.21833381189889
Sheffield Utd,Crystal Palace,Premier League,Matchweek 1,8/12/2023,-1,-1.4,0.9538866124396062,0,0.0,148.23899081564753,148.23899081564753
Bournemouth,West Ham,Premier League,Matchweek 1,8/12/2023,0,0.2,0.9370833333333334,0,0.0,96.5356303007143,96.5356303007143
Chelsea,Liverpool,Premier League,Matchweek 1,8/13/2023,0,0.1,0.9575164179104477,0,0.0,178.12109729259961,178.12109729259961
Brentford,Tottenham,Premier League,Matchweek 1,8/13/2023,0,0.9,0.9893333333333333,0,0.0,12.945839001702591,12.945839001702591
Manchester Utd,Wolves,Premier League,Matchweek 1,8/14/2023,1,0,0.968665407825065,0,0.0,60.67426842287674,60.67426842287674
Nott'ham Forest,Sheffield Utd,Premier League,Matchweek 2,8/18/2023,1,0.9,0.9617672047578589,0,0.0,32.86374293437882,32.86374293437882
Tottenham,Manchester Utd,Premier League,Matchweek 2,8/19/2023,2,-0.4,0.9975508362605137,1,0.0,158.84351023608815,158.84351023608815
Manchester City,Newcastle Utd,Premier League,Matchweek 2,8/19/2023,1,0.7,0.9709544322663904,-4,1629.7205401124174,105.7366886793771,105.7366886793771
Liverpool,Bournemouth,Premier League,Matchweek 2,8/19/2023,2,1.7,0.8712295081967213,-1,0.0,192.24191776581247,192.24191776581247
Wolves,Brighton,Premier League,Matchweek 2,8/19/2023,-3,-0.1,0.9771294851794072,-2,60.67426842287674,148.10104528632243,148.10104528632243
Fulham,Brentford,Premier League,Matchweek 2,8/19/2023,-3,-3.2,0.9430350194552529,1,0.0,3.6010120432373363,3.6010120432373363
West Ham,Chelsea,Premier League,Matchweek 2,8/20/2023,2,-0.7,0.999216,1,0.0,8.481334733904069,8.481334733904069
Aston Villa,Everton,Premier League,Matchweek 2,8/20/2023,4,2.3,0.9778142589118198,0,0.0,78.43260225710794,78.43260225710794
Crystal Palace,Arsenal,Premier League,Matchweek 2,8/21/2023,-1,-1,0.9213102266235003,0,0.0,10.870116866912975,10.870116866912975
Chelsea,Luton Town,Premier League,Matchweek 3,8/25/2023,3,1.8,0.9526686567164179,-8,8.481334733904069,29.65824840159611,29.65824840159611
Manchester Utd,Nott'ham Forest,Premier League,Matchweek 3,8/26/2023,1,1.6,0.971794905652903,-1,0.0,60.0445540663803,60.0445540663803
Arsenal,Fulham,Premier League,Matchweek 3,8/26/2023,0,2.6,0.9877602793885082,-2,10.870116866912975,7.361002471038941,7.361002471038941
