team,season,league,mp,pts_diff,gd,home_xg_overperf
FC Cincinnati,2023,mls,34,13,22.0,4.0
Orlando City,2023,mls,34,1,8.0,7.699999999999999
Crew,2023,mls,34,23,33.0,7.299999999999997
Philadelphia,2023,mls,34,17,24.0,6.699999999999999
NE Revolution,2023,mls,34,25,30.0,9.600000000000001
Atlanta Utd,2023,mls,34,17,29.0,13.600000000000001
Nashville,2023,mls,34,13,17.0,-3.5
NY Red Bulls,2023,mls,34,9,11.0,-1.6000000000000014
Charlotte,2023,mls,34,9,13.0,2.6999999999999993
CF Montréal,2023,mls,34,25,44.0,5.600000000000001
NYCFC,2023,mls,34,19,18.0,-2.5
D.C. United,2023,mls,34,8,20.0,4.100000000000001
Fire,2023,mls,34,10,20.0,5.899999999999999
Inter Miami,2023,mls,34,12,21.0,5.199999999999999
Toronto FC,2023,mls,34,14,27.0,-0.8000000000000007
Philadelphia,2022,mls,34,15,34.0,8.600000000000001
CF Montréal,2022,mls,34,-5,5.0,1.1000000000000014
NYCFC,2022,mls,34,13,20.0,0.3999999999999986
NY Red Bulls,2022,mls,34,-7,-1.0,0.8000000000000007
FC Cincinnati,2022,mls,34,-1,12.0,2.8999999999999986
Inter Miami,2022,mls,34,18,21.0,10.0
Orlando City,2022,mls,34,6,5.0,-0.5
Crew,2022,mls,34,8,9.0,-0.5
Charlotte,2022,mls,34,20,32.0,3.3999999999999986
NE Revolution,2022,mls,34,12,15.0,-1.8000000000000007
Atlanta Utd,2022,mls,34,18,20.0,-0.3999999999999986
Fire,2022,mls,34,7,11.0,-3.5
Toronto FC,2022,mls,34,14,19.0,7.199999999999999
D.C. United,2022,mls,34,5,11.0,-0.10000000000000142
NE Revolution,2021,mls,34,5,2.0,-0.10000000000000142
Philadelphia,2021,mls,34,18,17.0,-1.6999999999999993
Nashville,2021,mls,34,12,12.0,3.8000000000000007
NYCFC,2021,mls,34,17,28.0,0.0
Atlanta Utd,2021,mls,34,13,14.0,-2.0
Orlando City,2021,mls,34,11,20.0,1.8999999999999986
NY Red Bulls,2021,mls,34,12,10.0,-5.600000000000001
D.C. United,2021,mls,34,21,28.0,1.5
Crew,2021,mls,34,19,21.0,6.399999999999999
CF Montréal,2021,mls,34,16,10.0,-0.3000000000000007
Inter Miami,2021,mls,34,5,-1.0,1.8000000000000007
Fire,2021,mls,34,18,28.0,-4.199999999999999
Toronto FC,2021,mls,34,10,21.0,-2.5
FC Cincinnati,2021,mls,34,-4,13.0,-4.300000000000001
Philadelphia,2020,mls,23,15,18.0,6.5
Toronto FC,2020,mls,23,4,9.0,0.6999999999999993
Columbus Crew,2020,mls,23,19,17.0,3.8999999999999986
Orlando City,2020,mls,23,7,9.0,9.2
NYCFC,2020,mls,23,3,10.0,4.800000000000001
NY Red Bulls,2020,mls,23,0,4.0,-1.6999999999999993
Nashville,2020,mls,23,2,8.0,2.5
NE Revolution,2020,mls,23,-10,-3.0,-9.399999999999999
Montreal Impact,2020,mls,23,0,0.0,4.4
Inter Miami,2020,mls,23,10,10.0,0.5
Fire,2020,mls,23,13,16.0,3.3000000000000007
Atlanta Utd,2020,mls,23,6,3.0,0.5999999999999996
D.C. United,2020,mls,23,-1,-2.0,1.1999999999999993
FC Cincinnati,2020,mls,23,4,14.0,-4.9
NYCFC,2019,mls,34,12,15.0,-1.1000000000000014
Atlanta Utd,2019,mls,34,20,29.0,2.0
Philadelphia,2019,mls,34,13,26.0,2.799999999999997
Toronto FC,2019,mls,34,12,11.0,1.6000000000000014
D.C. United,2019,mls,34,4,2.0,-2.6000000000000014
NY Red Bulls,2019,mls,34,12,20.0,-0.3000000000000007
NE Revolution,2019,mls,34,11,15.0,-6.300000000000001
Chicago Fire,2019,mls,34,20,30.0,-0.6000000000000014
Montreal Impact,2019,mls,34,13,15.0,-1.8000000000000007
Columbus Crew,2019,mls,34,8,6.0,-1.1999999999999993
Orlando City,2019,mls,34,5,2.0,-4.699999999999999
FC Cincinnati,2019,mls,34,0,2.0,-6.399999999999999
NY Red Bulls,2018,mls,34,15,23.0,-0.3999999999999986
Atlanta Utd,2018,mls,34,5,20.0,0.8999999999999986
NYCFC,2018,mls,34,24,38.0,0.3999999999999986
D.C. United,2018,mls,34,31,30.0,12.2
Columbus Crew,2018,mls,34,23,24.0,-2.5
Philadelphia,2018,mls,34,8,19.0,-1.8000000000000007
Montreal Impact,2018,mls,34,24,36.0,3.8000000000000007
NE Revolution,2018,mls,34,17,22.0,0.8999999999999986
Toronto FC,2018,mls,34,16,25.0,1.3999999999999986
Chicago Fire,2018,mls,34,12,19.0,7.300000000000001
Orlando City,2018,mls,34,16,27.0,0.3000000000000007
Toronto FC,2017,mls,34,15,23,0
NYCFC,2017,mls,34,13,13,0
Chicago Fire,2017,mls,34,23,40,0
Atlanta Utd,2017,mls,34,17,28,0
Columbus Crew,2017,mls,34,22,30,0
NY Red Bulls,2017,mls,34,16,26,0
NE Revolution,2017,mls,34,33,54,0
Philadelphia,2017,mls,34,24,27,0
Montreal Impact,2017,mls,34,11,16,0
Orlando City,2017,mls,34,13,29,0
D.C. United,2017,mls,34,10,21,0
NY Red Bulls,2016,mls,34,25,21,0
NYCFC,2016,mls,34,6,9,0
Toronto FC,2016,mls,34,7,10,0
D.C. United,2016,mls,34,16,28,0
Montreal Impact,2016,mls,34,7,8,0
Philadelphia,2016,mls,34,14,15,0
NE Revolution,2016,mls,34,20,24,0
Orlando City,2016,mls,34,9,11,0
Columbus Crew,2016,mls,34,16,20,0
Chicago Fire,2016,mls,34,21,26,0
NY Red Bulls,2015,mls,34,16,15,0
Columbus Crew,2015,mls,34,9,21,0
Montreal Impact,2015,mls,34,19,26,0
D.C. United,2015,mls,34,21,28,0
NE Revolution,2015,mls,34,16,29,0
Toronto FC,2015,mls,34,19,24,0
Orlando City,2015,mls,34,8,22,0
NYCFC,2015,mls,34,7,11,0
Philadelphia,2015,mls,34,11,19,0
Chicago Fire,2015,mls,34,20,23,0
D.C. United,2014,mls,34,15,17,0
NE Revolution,2014,mls,34,15,23,0
Columbus Crew,2014,mls,34,10,14,0
NY Red Bulls,2014,mls,34,18,25,0
Sporting KC,2014,mls,34,-1,1,0
Philadelphia,2014,mls,34,10,8,0
Toronto FC,2014,mls,34,7,12,0
Dynamo,2014,mls,34,17,23,0
Chicago Fire,2014,mls,34,10,14,0
Montreal Impact,2014,mls,34,18,20,0
NY Red Bulls,2013,mls,34,15,19,0
Sporting KC,2013,mls,34,2,11,0
NE Revolution,2013,mls,34,5,15,0
Dynamo,2013,mls,34,11,14,0
Montreal Impact,2013,mls,34,17,21,0
Chicago Fire,2013,mls,34,17,21,0
Philadelphia,2013,mls,34,6,12,0
Columbus Crew,2013,mls,34,7,16,0
Toronto FC,2013,mls,34,11,19,0
D.C. United,2013,mls,34,10,11,0
Sporting KC,2012,mls,34,5,5,0
D.C. United,2012,mls,34,22,30,0
NY Red Bulls,2012,mls,34,17,21,0
Chicago Fire,2012,mls,34,15,13,0
Dynamo,2012,mls,34,25,31,0
Columbus Crew,2012,mls,34,20,14,0
Montreal Impact,2012,mls,34,24,30,0
Philadelphia,2012,mls,34,10,12,0
NE Revolution,2012,mls,34,19,21,0
Toronto FC,2012,mls,34,5,6,0
Sporting KC,2011,mls,34,15,16,0
Dynamo,2011,mls,34,19,20,0
Philadelphia,2011,mls,34,12,4,0
Columbus Crew,2011,mls,34,17,19,0
NY Red Bulls,2011,mls,34,14,18,0
Chicago Fire,2011,mls,34,9,9,0
D.C. United,2011,mls,34,1,5,0
Toronto FC,2011,mls,34,13,17,0
NE Revolution,2011,mls,34,8,6,0
NY Red Bulls,2010,mls,30,13,9,0
Columbus Crew,2010,mls,30,14,14,0
KC Wizards,2010,mls,30,9,11,0
Chicago Fire,2010,mls,30,2,3,0
Toronto FC,2010,mls,30,13,16,0
NE Revolution,2010,mls,30,16,24,0
Philadelphia,2010,mls,30,17,26,0
D.C. United,2010,mls,30,-2,0,0
Columbus Crew,2009,mls,30,13,10,0
Chicago Fire,2009,mls,30,-3,-7,0
NE Revolution,2009,mls,30,8,16,0
D.C. United,2009,mls,30,12,11,0
Toronto FC,2009,mls,30,17,21,0
KC Wizards,2009,mls,30,1,5,0
NY Red Bulls,2009,mls,30,17,28,0
Columbus Crew,2008,mls,30,13,16,0
Chicago Fire,2008,mls,30,2,1,0
NE Revolution,2008,mls,30,1,11,0
KC Wizards,2008,mls,30,20,16,0
NY Red Bulls,2008,mls,30,21,26,0
D.C. United,2008,mls,30,21,34,0
Toronto FC,2008,mls,30,15,19,0
D.C. United,2007,mls,30,11,8,0
NE Revolution,2007,mls,30,6,14,0
NY Red Bulls,2007,mls,30,17,26,0
Chicago Fire,2007,mls,30,8,7,0
KC Wizards,2007,mls,30,8,8,0
Columbus Crew,2007,mls,30,3,5,0
Toronto FC,2007,mls,30,11,22,0
D.C. United,2006,mls,32,7,4,0
NE Revolution,2006,mls,32,10,14,0
Chicago Fire,2006,mls,32,9,8,0
NY Red Bulls,2006,mls,32,19,14,0
KC Wizards,2006,mls,32,14,16,0
Columbus Crew,2006,mls,32,3,12,0
NE Revolution,2005,mls,32,13,12,0
D.C. United,2005,mls,32,4,9,0
Chicago Fire,2005,mls,32,5,7,0
MetroStars,2005,mls,32,3,-2,0
KC Wizards,2005,mls,32,3,2,0
Columbus Crew,2005,mls,32,6,3,0
Columbus Crew,2004,mls,30,9,8,0
D.C. United,2004,mls,30,20,27,0
MetroStars,2004,mls,30,10,12,0
NE Revolution,2004,mls,30,9,9,0
Chicago Fire,2004,mls,30,15,18,0
Chicago Fire,2003,mls,30,15,28,0
NE Revolution,2003,mls,30,5,10,0
MetroStars,2003,mls,30,-4,-4,0
D.C. United,2003,mls,30,9,10,0
Columbus Crew,2003,mls,30,10,18,0
NE Revolution,2002,mls,28,4,8,0
Columbus Crew,2002,mls,28,6,3,0
Chicago Fire,2002,mls,28,1,3,0
MetroStars,2002,mls,28,-7,4,0
D.C. United,2002,mls,28,20,19,0
