team,season,league,mp,pts_diff,gd,home_xg_overperf
St. Louis,2023,mls-wc,34,14,31.0,15.600000000000001
Seattle,2023,mls-wc,34,1,7.0,-10.0
LAFC,2023,mls-wc,34,14,23.0,3.700000000000003
Dynamo FC,2023,mls-wc,34,23,37.0,7.600000000000001
RSL,2023,mls-wc,34,-6,-2.0,1.8000000000000007
Vancouver W'caps,2023,mls-wc,34,12,25.0,1.2000000000000028
FC Dallas,2023,mls-wc,34,10,10.0,2.8999999999999986
Sporting KC,2023,mls-wc,34,14,21.0,7.399999999999999
SJ Earthquakes,2023,mls-wc,34,18,22.0,-2.3999999999999986
Portland Timbers,2023,mls-wc,34,17,26.0,6.199999999999999
Minnesota Utd,2023,mls-wc,34,1,13.0,-6.899999999999999
Austin,2023,mls-wc,34,11,18.0,4.199999999999999
LA Galaxy,2023,mls-wc,34,12,20.0,1.5
Rapids,2023,mls-wc,34,7,22.0,-9.100000000000001
LAFC,2022,mls-wc,34,15,20.0,1.2999999999999972
Austin,2022,mls-wc,34,4,22.0,12.899999999999999
FC Dallas,2022,mls-wc,34,15,15.0,3.0
LA Galaxy,2022,mls-wc,34,6,13.0,0.3999999999999986
Nashville,2022,mls-wc,34,-2,7.0,2.0
Minnesota Utd,2022,mls-wc,34,10,17.0,-0.8999999999999986
RSL,2022,mls-wc,34,17,26.0,1.3999999999999986
Portland Timbers,2022,mls-wc,34,14,18.0,-1.8999999999999986
Vancouver W'caps,2022,mls-wc,34,23,27.0,3.8000000000000007
Rapids,2022,mls-wc,34,27,39.0,0.8999999999999986
Seattle,2022,mls-wc,34,19,19.0,1.5
Sporting KC,2022,mls-wc,34,18,28.0,2.6999999999999993
Dynamo FC,2022,mls-wc,34,10,17.0,-2.6000000000000014
SJ Earthquakes,2022,mls-wc,34,19,25.0,3.5
Rapids,2021,mls-wc,34,7,18.0,5.199999999999999
Seattle,2021,mls-wc,34,-2,6.0,-0.1999999999999993
Sporting KC,2021,mls-wc,34,6,12.0,-3.1000000000000014
Portland Timbers,2021,mls-wc,34,15,22.0,0.7999999999999972
Minnesota Utd,2021,mls-wc,34,17,22.0,-5.600000000000001
Vancouver W'caps,2021,mls-wc,34,17,16.0,2.8000000000000007
RSL,2021,mls-wc,34,14,17.0,4.399999999999999
LA Galaxy,2021,mls-wc,34,10,18.0,-1.3000000000000007
LAFC,2021,mls-wc,34,15,20.0,-4.5
SJ Earthquakes,2021,mls-wc,34,-1,10.0,-3.3000000000000007
FC Dallas,2021,mls-wc,34,11,17.0,-0.6999999999999993
Austin,2021,mls-wc,34,15,25.0,-0.5
Dynamo FC,2021,mls-wc,34,18,16.0,-6.699999999999999
Sporting KC,2020,mls-wc,21,-1,-1.0,2.6999999999999993
Seattle,2020,mls-wc,22,15,19.0,6.899999999999999
Portland Timbers,2020,mls-wc,23,1,-5.0,6.800000000000001
Minnesota Utd,2020,mls-wc,21,2,10.0,3.6999999999999993
FC Dallas,2020,mls-wc,22,16,20.0,0.10000000000000142
LAFC,2020,mls-wc,22,24,30.0,15.2
SJ Earthquakes,2020,mls-wc,23,4,14.0,-0.6000000000000014
Rapids,2020,mls-wc,18,-4,6.0,5.800000000000001
Vancouver W'caps,2020,mls-wc,23,9,19.0,7.199999999999999
LA Galaxy,2020,mls-wc,22,6,5.0,1.8000000000000007
RSL,2020,mls-wc,22,10,2.0,-2.3000000000000007
Dynamo,2020,mls-wc,23,5,14.0,-3.3000000000000007
LAFC,2019,mls-wc,34,12,8.0,5.600000000000001
Seattle,2019,mls-wc,34,18,23.0,1.7999999999999972
RSL,2019,mls-wc,34,21,27.0,9.8
Minnesota Utd,2019,mls-wc,34,19,23.0,-4.600000000000001
LA Galaxy,2019,mls-wc,34,17,23.0,1.2000000000000028
Portland Timbers,2019,mls-wc,34,7,15.0,-1.8000000000000007
FC Dallas,2019,mls-wc,34,24,36.0,6.300000000000001
SJ Earthquakes,2019,mls-wc,34,20,27.0,0.10000000000000142
Rapids,2019,mls-wc,34,16,19.0,5.0
Dynamo,2019,mls-wc,34,28,34.0,-1.3999999999999986
Sporting KC,2019,mls-wc,34,12,18.0,-4.100000000000001
Vancouver W'caps,2019,mls-wc,34,6,8.0,-0.1999999999999993
Sporting KC,2018,mls-wc,34,8,9.0,0.0
Seattle,2018,mls-wc,34,5,21.0,5.0
LAFC,2018,mls-wc,34,11,18.0,-1.7000000000000028
FC Dallas,2018,mls-wc,34,13,18.0,-0.6000000000000014
Portland Timbers,2018,mls-wc,34,20,28.0,-2.700000000000003
RSL,2018,mls-wc,34,25,31.0,6.600000000000001
LA Galaxy,2018,mls-wc,34,8,18.0,7.0
Vancouver W'caps,2018,mls-wc,34,5,19.0,-2.299999999999997
Dynamo,2018,mls-wc,34,16,24.0,3.0
Minnesota Utd,2018,mls-wc,34,26,32.0,3.3999999999999986
Rapids,2018,mls-wc,34,11,11.0,-1.8000000000000007
SJ Earthquakes,2018,mls-wc,34,3,-2.0,4.100000000000001
Portland Timbers,2017,mls-wc,34,21,30,0
Seattle,2017,mls-wc,34,23,27,0
Vancouver W'caps,2017,mls-wc,34,12,19,0
Dynamo,2017,mls-wc,34,30,40,0
Sporting KC,2017,mls-wc,34,23,27,0
SJ Earthquakes,2017,mls-wc,34,24,35,0
FC Dallas,2017,mls-wc,34,16,26,0
RSL,2017,mls-wc,34,17,26,0
Minnesota Utd,2017,mls-wc,34,14,21,0
Rapids,2017,mls-wc,34,23,28,0
LA Galaxy,2017,mls-wc,34,-4,-2,0
FC Dallas,2016,mls-wc,34,20,32,0
Rapids,2016,mls-wc,34,20,19,0
LA Galaxy,2016,mls-wc,34,12,13,0
Seattle,2016,mls-wc,34,16,19,0
Sporting KC,2016,mls-wc,34,19,21,0
RSL,2016,mls-wc,34,18,18,0
Portland Timbers,2016,mls-wc,34,32,33,0
Vancouver W'caps,2016,mls-wc,34,9,19,0
SJ Earthquakes,2016,mls-wc,34,18,20,0
Dynamo,2016,mls-wc,34,10,10,0
FC Dallas,2015,mls-wc,34,22,23,0
Vancouver W'caps,2015,mls-wc,34,5,9,0
Portland Timbers,2015,mls-wc,34,7,18,0
Seattle,2015,mls-wc,34,19,16,0
LA Galaxy,2015,mls-wc,34,27,40,0
Sporting KC,2015,mls-wc,34,19,15,0
SJ Earthquakes,2015,mls-wc,34,13,10,0
Dynamo,2015,mls-wc,34,20,25,0
RSL,2015,mls-wc,34,13,26,0
Rapids,2015,mls-wc,34,3,2,0
Seattle,2014,mls-wc,34,10,15,0
LA Galaxy,2014,mls-wc,34,19,28,0
RSL,2014,mls-wc,34,20,23,0
FC Dallas,2014,mls-wc,34,20,12,0
Vancouver W'caps,2014,mls-wc,34,14,14,0
Portland Timbers,2014,mls-wc,34,-1,3,0
Chivas USA,2014,mls-wc,34,7,0,0
Rapids,2014,mls-wc,34,14,29,0
SJ Earthquakes,2014,mls-wc,34,12,15,0
Portland Timbers,2013,mls-wc,34,19,15,0
RSL,2013,mls-wc,34,12,14,0
LA Galaxy,2013,mls-wc,34,21,33,0
Seattle,2013,mls-wc,34,18,28,0
Rapids,2013,mls-wc,34,17,21,0
SJ Earthquakes,2013,mls-wc,34,25,27,0
