team,stadium_name,lat,long,capacity
AC Omonia,GSP Stadium,35.114542,33.362864,22709
AEK Athens,OPAP Arena,38.037,23.74,32500
Ajax,Johan Cruyff Arena,52.31416667,4.941944444,54990
Alavés,Mendizorrotza Stadium,42.837111,-2.688044,19840
Almería,Estadio Municipal Juan Rojas,36.862,-2.44529,13468
Anderlecht,Lotto Park,50.834167,4.298333,21500
Antwerp,Stadion Broodstraat,51.2327,4.471575,5350
Arandina,Estadio El Montecillo,41.667997,-3.698911,5000
Arouca,Estádio Municipal de Arouca,40.92833333,-8.24861111,2500
Arsenal,Emirates Stadium,51.555,-0.108611111,60704
Aston Villa,Villa Park,52.50916667,-1.884722222,42640
Atalanta,Gewiss Stadium,45.708889,9.680833,24950
Athletic Club,San Mamés Stadium,43.264205,-2.949369,53289
Atlético Madrid,Estadio Cerro del Espino,40.45755833,-3.860286111,3376
Augsburg,WWK Arena,48.3233205,10.8859261,30660
AZ Alkmaar,AFAS Stadion,52.6125,4.741667,17023
Barbastro,Estadio Municipal de Deportes de Barbastro,42.035,0.137,5000
Barcelona,Camp Nou,41.364722,2.155556,99354
Bayern Munich,Allianz Arena,48.218775,11.62475278,75024
Benfica,Estadio da Luz,38.75277778,-9.184722222,64642
Betis,Estadio Benito Villamar�n,37.356403,-5.981611,60720
Boavista,Estádio do Bessa,41.16222222,-8.642777777,28263
Bochum,Ruhrstadion,51.489944,7.236489,29299
Bologna,Stadio Renato Dall'Ara,44.49362,11.309719,36462
Bournemouth,Dean Court,50.735278,-1.838333,12000
Braga,Est�dio Municipal de Braga,41.5624,-8.4308,30286
Brentford,Griffin Park,51.488167,-0.302639,17250
Brest,Stade Francis Le Ble,48.4,-4.46,15220
Brighton,Brighton Community Stadium,50.86182222,-0.083277777,32500
Bristol City,Ashton Gate Stadium,51.44,-2.620278,27699
Burnley,Turf Moor,53.789064,-2.230225,22546
Cádiz,Estadio Ram�n de Carranza,36.502778,-6.273056,26000
